stimuls,condition,response,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text.started,key_resp.started,instr.stopped,key_resp.keys,key_resp.rt,key_resp.duration,exp.started,text_2.started,exp.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,fix.started,text_3.started,fix.stopped,text_3.stopped,end.started,text_4.started,text_4.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.005890625005122274,0.017343209008686244,0.017343209008686244,0.6937283340084832,space,0.587321417988278,None,,,,,,,,,,,,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<><<,incongruent,right,0,0,0,right,1,1.3533425420173444,None,0,0,0,18,0.7113338339840993,,,,,,,,,0.7002514170017093,0.7113338339840993,2.059423833998153,right,1,1.3533425420173444,None,2.0594936670095194,2.165579874999821,2.268803124985425,,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,1,1,0,right,0,0.7467065420059953,None,0,1,1,0,2.273077874997398,,,,,,,,,2.269930292008212,2.273077874997398,3.0208050420042127,right,0,0.7467065420059953,None,3.0208663340017665,3.0271752499975264,3.2201364999928046,3.224197917006677,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,2,2,0,right,0,0.5593434170004912,None,0,2,2,16,3.224197917006677,,,,,,,,,3.220309875003295,3.224197917006677,3.786857291997876,right,0,0.5593434170004912,None,3.78690791700501,3.7917674999916926,3.9865175840095617,3.992440792004345,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,3,3,0,right,1,0.5381943340180442,None,0,3,3,1,3.992440792004345,,,,,,,,,3.988403124996694,3.992440792004345,4.5373179169837385,right,1,0.5381943340180442,None,4.537376666994533,4.542338583996752,4.73692220900557,4.742926584003726,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<><<,incongruent,right,4,4,0,right,1,0.5295867499953602,None,0,4,4,12,4.742926584003726,,,,,,,,,4.738945416989736,4.742926584003726,5.2704790419957135,right,1,0.5295867499953602,None,5.270538959011901,5.274175833998015,5.459028666984523,5.46780008400674,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,5,5,0,right,1,0.41810229199472815,None,0,5,5,13,5.46780008400674,,,,,,,,,5.460944958991604,5.46780008400674,5.892593583994312,right,1,0.41810229199472815,None,5.892640042002313,5.901123916992219,6.086837834009202,6.090741791995242,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,6,6,0,right,1,0.6086575000081211,None,0,6,6,14,6.090741791995242,,,,,,,,,6.086993459000951,6.090741791995242,6.70356824999908,right,1,0.6086575000081211,None,6.703624291985761,6.707414750009775,6.89275841700146,6.901145791984163,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,7,7,0,right,1,0.6103317090019118,None,0,7,7,3,6.901145791984163,,,,,,,,,6.892895416996907,6.901145791984163,7.520461542007979,right,1,0.6103317090019118,None,7.520514375006314,7.525458499992965,7.720061083993642,7.723959958995692,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,8,8,0,right,1,0.5403710009995848,None,0,8,8,19,7.723959958995692,,,,,,,,,7.7202059169940185,7.723959958995692,8.270127958996454,right,1,0.5403710009995848,None,8.270175916986773,8.275028208998265,8.469716708990745,8.47368845899473,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,9,9,0,right,1,0.5897487500042189,None,0,9,9,5,8.47368845899473,,,,,,,,,8.469836584001314,8.47368845899473,9.070162541989703,right,1,0.5897487500042189,None,9.0702087499958,9.075114000006579,9.269899417005945,9.273639041988645,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,10,10,0,left,0,0.6654803759884089,None,0,10,10,10,9.273639041988645,,,,,,,,,9.270033834007336,9.273639041988645,9.936796291993232,left,0,0.6654803759884089,None,9.936841708986321,9.940568124991842,10.127506958990125,10.134469084005104,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,11,11,0,right,1,0.5852354590024333,None,0,11,11,17,10.134469084005104,,,,,,,,,10.127657208999153,10.134469084005104,10.726073875004658,right,1,0.5852354590024333,None,10.72611925000092,10.73453304200666,10.920144792005885,10.926056083990261,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>><>>,incongruent,left,12,12,0,right,0,0.3045886670006439,None,0,12,12,9,10.926056083990261,,,,,,,,,10.922100583993597,10.926056083990261,11.237149458989734,right,0,0.3045886670006439,None,11.237202874996001,11.242005417007022,11.436697083991021,11.442379708983935,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,13,13,0,right,0,0.3339443750155624,None,0,13,13,6,11.442379708983935,,,,,,,,,11.438510874984786,11.442379708983935,11.776259792008204,right,0,0.3339443750155624,None,11.776311958994484,11.78448462500819,11.970041791995754,11.973965874989517,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,14,14,0,right,0,0.23040391798713244,None,0,14,14,2,11.973965874989517,,,,,,,,,11.970188917010091,11.973965874989517,12.209166416985681,right,0,0.23040391798713244,None,12.20920945898979,12.217776500008767,12.403549624985317,12.409128958999645,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>><>>,incongruent,left,15,15,0,right,0,0.2385083340050187,None,0,15,15,15,12.409128958999645,,,,,,,,,12.405365084006917,12.409128958999645,12.65406220901059,right,0,0.2385083340050187,None,12.654114584001945,12.658042166993255,12.84235545899719,12.851304125011666,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,16,16,0,right,0,0.20933504300774075,None,0,16,16,11,12.851304125011666,,,,,,,,,12.844068500009598,12.851304125011666,13.070143874996575,right,0,0.20933504300774075,None,13.070204249990638,13.07511320899357,13.269759374990826,13.275350584008265,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<><<,incongruent,right,17,17,0,right,1,0.17988537601195276,None,0,17,17,8,13.275350584008265,,,,,,,,,13.271524834010052,13.275350584008265,13.453719584009377,right,1,0.17988537601195276,None,13.45377154200105,13.45762908400502,13.64244024999789,13.65119383399724,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,18,18,0,right,1,0.23943204199895263,None,0,18,18,7,13.65119383399724,,,,,,,,,13.644214166997699,13.65119383399724,13.903827834001277,right,1,0.23943204199895263,None,13.903872958995635,13.908633042010479,14.103073834005045,14.10854441698757,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,19,19,0,right,0,0.16073862600023858,None,0,19,19,4,14.10854441698757,,,,,,,,,14.10478600001079,14.10854441698757,14.270426917006262,right,0,0.16073862600023858,None,14.270478458987782,14.275440291996347,14.469930624996778,14.47556112500024,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,20,0,1,right,1,0.20257845899323002,None,1,0,20,5,14.47556112500024,,,,,,,,,14.471820874983678,14.47556112500024,14.676502916991012,right,1,0.20257845899323002,None,14.676546750008129,14.684455499984324,14.871212708996609,14.87701024999842,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>><>>,incongruent,left,21,1,1,right,0,0.17456625000340864,None,1,1,21,9,14.87701024999842,,,,,,,,,14.873267458984628,14.87701024999842,15.05660995899234,right,0,0.17456625000340864,None,15.056664333998924,15.061535666987766,15.253654750005808,15.257580542005599,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>><>>,incongruent,left,22,2,1,right,0,0.32203741700504906,None,1,2,22,15,15.257580542005599,,,,,,,,,15.253802541992627,15.257580542005599,15.587242959009018,right,0,0.32203741700504906,None,15.587288125010673,15.591165583988186,15.775840374990366,15.784476792003261,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,23,3,1,right,1,0.18204033400979824,None,1,3,23,7,15.784476792003261,,,,,,,,,15.777582167007495,15.784476792003261,15.970523875002982,right,1,0.18204033400979824,None,15.97057366700028,15.97423637501197,16.16043124999851,16.167904959002044,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
>>>>>,congruent,right,24,4,1,right,1,0.12942770900554024,None,1,4,24,17,16.167904959002044,,,,,,,,,16.160576541995397,16.167904959002044,16.303797625005245,right,1,0.12942770900554024,None,16.30384112498723,16.30865087499842,16.503475999983493,16.50922675000038,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
<<<<<,congruent,left,25,5,1,right,0,0.1760136260127183,None,1,5,25,11,16.50922675000038,,,,,,,,,16.50538700001198,16.50922675000038,16.68680699999095,right,0,0.1760136260127183,None,16.686858333996497,16.69166229199618,16.886804375011707,16.89238220898551,,,,,pilot ,001,2026-03-05_16h58.44.110,flank,,2025.2.4,None,2026-03-05 16h58.44.168287 +0300,
